im	marker	bGood	iLG	chr	coorGenet	startCtgOnChr	indexOnPath
1	NODE_8097_length_7434_cov_1.73355_B0_start2039	True	21	chr1	0	0	1
2	NODE_2045_length_28940_cov_2.24957_B0_start26535	True	21	chr1	1.56262717521	7740	2
3	NODE_4707_length_15209_cov_2.30379_B0_start4984,5257	True	21	chr1	3.52366283287	76860	-1
4	NODE_5664_length_12259_cov_2.28543_B0_start5691,5691,5698,5698	True	21	chr1	3.52366283287	92400	3
5	NODE_12295_length_3097_cov_2.0037___1174	False	21	chr1	3.52366283287	105000	-1
6	NODE_4224_length_16981_cov_2.28283_B0_start1511,6043,6205	True	21	chr1	4.45826948348	117060	4
7	NODE_4601_length_15581_cov_2.71866_B0_start8496,15147	True	21	chr1	4.45826948348	134400	-1
8	NODE_2665_length_24060_cov_2.58487_B0_start15982,16302	True	21	chr1	4.92557280878	150300	-1
9	NODE_1258_length_38246_cov_2.3409_B0_start8857,8857	True	21	chr1	5.39287613408	174660	-1
10	NODE_1351_length_37039_cov_2.54096_B0_start15265,15265,17200,17200	True	21	chr1	5.39287613408	213240	-1
11	NODE_1551_length_34076_cov_2.28492_B0_start2832,2832	True	21	chr1	5.39287613408	250620	-1
12	NODE_10877_length_4193_cov_2.41229_B0_start3546,3704	True	21	chr1	5.39287613408	285000	5
13	NODE_3897_length_18345_cov_2.35007_B0_start13789	True	21	chr1	9.20424440348	449520	6
14	NODE_2544_length_24843_cov_2.86388_B1_start19137,19160,20491,20491	True	21	chr1	10.1217013369	469440	7
15	NODE_2544_length_24843_cov_2.86388_B0_start1284	True	21	chr1	12.1628010629	469440	8
16	NODE_1886_length_30203_cov_2.57755_B0_start25327	True	21	chr1	14.2464358829	519240	9
17	NODE_788_length_46858_cov_2.53288_B1_start31023,31023,39028,39028,41877,41877	True	21	chr1	17.1884608841	570180	10
18	NODE_1640_length_32837_cov_2.53332_B1_start30973,31148	True	21	chr1	18.1500289805	617340	11
19	NODE_1640_length_32837_cov_2.53332_B0_start12030,12142,12165,12169	True	21	chr1	21.0634743867	617340	12
20	NODE_2031_length_29051_cov_2.56347_B0_start5644,10493,10513,10915,10915	True	21	chr1	18.1500289805	650520	-1
21	NODE_3212_length_21220_cov_2.30165_B0_start20615	True	21	chr1	23.0245100443	709020	13
22	NODE_13035_length_2681_cov_2.27209_B0_start2035,2222	True	21	chr1	23.0245100443	730560	-1
23	NODE_1468_length_35235_cov_2.45372_B0_start20155,20180	True	21	chr1	26.0254105306	739200	14
24	NODE_5026_length_14045_cov_2.44081_B0_start867,4642,4724,11179	True	21	chr1	27.0058341001	774780	16
25	NODE_5146_length_13665_cov_2.05723_B0_start10117	True	21	chr1	27.0058341001	789180	15
26	NODE_59_length_109993_cov_2.58077___35055	False	21	chr1	28.9108264117	831780	-1
27	NODE_59_length_109993_cov_2.58077___35077	False	21	chr1	28.9108264117	831780	-1
28	NODE_59_length_109993_cov_2.58077___35143	False	21	chr1	28.9108264117	831780	-1
29	NODE_741_length_48076_cov_2.38633_B0_start23428	True	21	chr1	28.9108264117	942120	17
30	NODE_2297_length_26793_cov_2.51972___9559	False	21	chr1	28.9108264117	990540	-1
31	NODE_2297_length_26793_cov_2.51972___19140	False	21	chr1	28.9108264117	990540	-1
32	NODE_1676_length_32457_cov_2.39576_B0_start7222	True	21	chr1	31.8801407259	1070460	-1
33	NODE_2956_length_22455_cov_2.16689_B0_start11155,11155,14579	True	21	chr1	33.6201871647	1115340	-1
34	NODE_4662_length_15355_cov_2.25499_B0_start3171,11432	True	21	chr1	33.6201871647	1138140	-1
35	NODE_6560_length_10221_cov_2.55872___4039	False	21	chr1	33.6201871647	1153800	-1
36	NODE_8832_length_6426_cov_2.60146___4611	False	21	chr1	33.6201871647	1164360	-1
37	NODE_8832_length_6426_cov_2.60146___4779	False	21	chr1	33.6201871647	1164360	-1
38	NODE_17984_length_1385_cov_2.10301_B0_start1011	True	21	chr1	33.6201871647	1171140	18
39	NODE_289_length_71390_cov_2.61206_B0_start44703,44703,53592,66519	True	21	chr1	34.7696630759	1285500	-1
40	NODE_1450_length_35543_cov_2.30327_B0_start8227,8227	True	21	chr1	34.7696630759	1357200	19
