id,marker_name,linkage_id,chr,genetic_coord
1,NODE_8097_length_7434_cov_1.73355_B0_start2039,21,chr1,0
2,NODE_2045_length_28940_cov_2.24957_B0_start26535,21,chr1,1.56262717521
3,"NODE_4707_length_15209_cov_2.30379_B0_start4984,5257",21,chr1,3.52366283287
4,"NODE_5664_length_12259_cov_2.28543_B0_start5691,5691,5698,5698",21,chr1,3.52366283287
5,NODE_12295_length_3097_cov_2.0037___1174,21,chr1,3.52366283287
6,"NODE_4224_length_16981_cov_2.28283_B0_start1511,6043,6205",21,chr1,4.45826948348
7,"NODE_4601_length_15581_cov_2.71866_B0_start8496,15147",21,chr1,4.45826948348
8,"NODE_2665_length_24060_cov_2.58487_B0_start15982,16302",21,chr1,4.92557280878
9,"NODE_1258_length_38246_cov_2.3409_B0_start8857,8857",21,chr1,5.39287613408
10,"NODE_1351_length_37039_cov_2.54096_B0_start15265,15265,17200,17200",21,chr1,5.39287613408
11,"NODE_1551_length_34076_cov_2.28492_B0_start2832,2832",21,chr1,5.39287613408
12,"NODE_10877_length_4193_cov_2.41229_B0_start3546,3704",21,chr1,5.39287613408
13,NODE_3897_length_18345_cov_2.35007_B0_start13789,21,chr1,9.20424440348
14,"NODE_2544_length_24843_cov_2.86388_B1_start19137,19160,20491,20491",21,chr1,10.1217013369
15,NODE_2544_length_24843_cov_2.86388_B0_start1284,21,chr1,12.1628010629
16,NODE_1886_length_30203_cov_2.57755_B0_start25327,21,chr1,14.2464358829
17,"NODE_788_length_46858_cov_2.53288_B1_start31023,31023,39028,39028,41877,41877",21,chr1,17.1884608841
18,"NODE_1640_length_32837_cov_2.53332_B1_start30973,31148",21,chr1,18.1500289805
19,"NODE_1640_length_32837_cov_2.53332_B0_start12030,12142,12165,12169",21,chr1,21.0634743867
20,"NODE_2031_length_29051_cov_2.56347_B0_start5644,10493,10513,10915,10915",21,chr1,18.1500289805
21,NODE_3212_length_21220_cov_2.30165_B0_start20615,21,chr1,23.0245100443
22,"NODE_13035_length_2681_cov_2.27209_B0_start2035,2222",21,chr1,23.0245100443
23,"NODE_1468_length_35235_cov_2.45372_B0_start20155,20180",21,chr1,26.0254105306
24,"NODE_5026_length_14045_cov_2.44081_B0_start867,4642,4724,11179",21,chr1,27.0058341001
25,NODE_5146_length_13665_cov_2.05723_B0_start10117,21,chr1,27.0058341001
26,NODE_59_length_109993_cov_2.58077___35055,21,chr1,28.9108264117
27,NODE_59_length_109993_cov_2.58077___35077,21,chr1,28.9108264117
28,NODE_59_length_109993_cov_2.58077___35143,21,chr1,28.9108264117
29,NODE_741_length_48076_cov_2.38633_B0_start23428,21,chr1,28.9108264117
30,NODE_2297_length_26793_cov_2.51972___9559,21,chr1,28.9108264117
